,image,label
0,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",0
1,"[[[241 242 244]
  [241 242 244]
  [238 239 241]
  ...
  [251 251 251]
  [252 252 252]
  [252 252 252]]

 [[251 251 253]
  [251 251 253]
  [251 251 251]
  ...
  [251 251 251]
  [220 220 220]
  [252 252 252]]

 [[249 250 252]
  [250 250 252]
  [250 250 251]
  ...
  [251 251 251]
  [226 226 226]
  [251 251 251]]

 ...

 [[147 147 147]
  [146 146 146]
  [145 145 145]
  ...
  [161 161 161]
  [160 160 160]
  [159 159 159]]

 [[147 147 147]
  [146 146 146]
  [145 145 145]
  ...
  [161 161 161]
  [160 160 160]
  [162 162 162]]

 [[148 148 148]
  [147 147 147]
  [145 145 145]
  ...
  [162 162 162]
  [158 158 158]
  [156 156 156]]]",0
2,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",0
3,"[[[237 238 240]
  [237 238 240]
  [237 238 242]
  ...
  [237 238 240]
  [237 238 240]
  [237 238 240]]

 [[237 238 242]
  [237 238 242]
  [237 238 240]
  ...
  [237 238 240]
  [237 238 240]
  [237 238 240]]

 [[237 238 241]
  [237 238 240]
  [237 238 240]
  ...
  [237 238 240]
  [237 238 240]
  [237 238 240]]

 ...

 [[237 238 240]
  [237 238 240]
  [237 238 240]
  ...
  [237 238 240]
  [237 238 240]
  [237 238 240]]

 [[237 238 240]
  [237 238 240]
  [237 238 240]
  ...
  [237 238 240]
  [237 238 240]
  [237 238 240]]

 [[237 238 240]
  [237 238 240]
  [237 238 240]
  ...
  [237 238 240]
  [237 238 240]
  [237 238 240]]]",0
4,"[[[241 241 241]
  [241 241 241]
  [241 241 241]
  ...
  [241 241 241]
  [241 241 241]
  [241 241 241]]

 [[241 241 241]
  [241 241 241]
  [241 241 241]
  ...
  [241 241 241]
  [241 241 241]
  [241 241 241]]

 [[241 241 241]
  [241 241 241]
  [241 241 241]
  ...
  [241 241 241]
  [241 241 241]
  [241 241 241]]

 ...

 [[241 241 241]
  [241 241 241]
  [241 241 241]
  ...
  [241 241 241]
  [241 241 241]
  [241 241 241]]

 [[241 241 241]
  [241 241 241]
  [241 241 241]
  ...
  [241 241 241]
  [241 241 241]
  [241 241 241]]

 [[241 241 241]
  [241 241 241]
  [241 241 241]
  ...
  [241 241 241]
  [241 241 241]
  [241 241 241]]]",0
5,"[[[250 250 250]
  [250 250 250]
  [250 250 250]
  ...
  [250 250 250]
  [250 250 250]
  [250 250 250]]

 [[250 250 250]
  [250 250 250]
  [250 250 250]
  ...
  [250 250 250]
  [250 250 250]
  [250 250 250]]

 [[250 250 250]
  [250 250 250]
  [250 250 250]
  ...
  [251 251 251]
  [250 250 250]
  [250 250 250]]

 ...

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",0
6,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",0
7,"[[[185 206 223]
  [184 205 222]
  [185 206 223]
  ...
  [185 213 225]
  [187 215 227]
  [187 215 227]]

 [[189 208 225]
  [190 209 226]
  [190 209 226]
  ...
  [189 215 228]
  [189 215 228]
  [191 217 230]]

 [[192 211 227]
  [193 212 228]
  [193 212 228]
  ...
  [192 218 231]
  [193 219 232]
  [192 218 231]]

 ...

 [[149 172 184]
  [100 126 136]
  [110 132 144]
  ...
  [113 138 142]
  [168 191 196]
  [104 128 133]]

 [[ 89 111 124]
  [ 91 109 119]
  [119 139 149]
  ...
  [106 131 136]
  [104 130 137]
  [101 124 130]]

 [[110 130 140]
  [ 93 116 129]
  [ 97 119 131]
  ...
  [132 149 151]
  [122 143 144]
  [112 140 145]]]",0
8,"[[[227 230 235]
  [227 230 235]
  [227 230 235]
  ...
  [227 230 235]
  [227 230 235]
  [227 230 235]]

 [[227 230 235]
  [227 230 235]
  [227 230 235]
  ...
  [227 230 235]
  [227 230 235]
  [227 230 235]]

 [[227 230 235]
  [227 230 235]
  [227 230 235]
  ...
  [227 230 235]
  [227 230 235]
  [227 230 235]]

 ...

 [[227 230 235]
  [227 230 235]
  [227 230 235]
  ...
  [227 230 235]
  [227 230 235]
  [227 230 235]]

 [[227 230 235]
  [227 230 235]
  [227 230 235]
  ...
  [227 230 235]
  [227 230 235]
  [227 230 235]]

 [[227 230 235]
  [227 230 235]
  [227 230 235]
  ...
  [227 230 235]
  [227 230 235]
  [227 230 235]]]",0
9,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",0
10,"[[[231 231 231]
  [229 229 229]
  [228 228 228]
  ...
  [243 243 243]
  [242 242 242]
  [242 242 242]]

 [[231 231 231]
  [229 229 229]
  [228 228 228]
  ...
  [243 243 243]
  [242 242 242]
  [242 242 242]]

 [[231 231 231]
  [229 229 229]
  [228 228 228]
  ...
  [245 243 244]
  [245 243 244]
  [245 243 244]]

 ...

 [[208 208 210]
  [210 210 212]
  [208 208 210]
  ...
  [215 214 219]
  [208 207 212]
  [206 205 210]]

 [[206 206 208]
  [205 205 207]
  [207 207 209]
  ...
  [210 210 212]
  [210 209 214]
  [208 208 213]]

 [[203 203 205]
  [206 206 208]
  [207 207 209]
  ...
  [210 210 211]
  [209 208 213]
  [211 210 215]]]",0
11,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",0
12,"[[[184 184 184]
  [178 178 178]
  [168 168 168]
  ...
  [159 159 159]
  [171 171 171]
  [146 146 146]]

 [[173 173 173]
  [172 172 172]
  [170 170 170]
  ...
  [178 178 178]
  [163 163 163]
  [182 182 182]]

 [[187 187 187]
  [175 175 175]
  [168 168 168]
  ...
  [167 167 167]
  [174 174 174]
  [175 175 175]]

 ...

 [[151 151 151]
  [140 140 140]
  [139 139 139]
  ...
  [118 117 122]
  [125 124 129]
  [111 110 115]]

 [[150 150 150]
  [136 136 136]
  [137 137 137]
  ...
  [120 120 120]
  [122 122 122]
  [119 119 119]]

 [[119 119 117]
  [135 135 133]
  [127 127 125]
  ...
  [115 115 113]
  [116 116 116]
  [113 113 113]]]",0
13,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",0
14,"[[[144 143 139]
  [145 144 140]
  [144 143 139]
  ...
  [123 123 115]
  [121 122 116]
  [120 121 116]]

 [[145 145 140]
  [146 145 141]
  [147 145 142]
  ...
  [121 121 114]
  [122 123 117]
  [122 121 117]]

 [[148 149 144]
  [148 149 144]
  [148 147 143]
  ...
  [120 122 116]
  [121 122 116]
  [121 120 116]]

 ...

 [[205 207 205]
  [195 196 191]
  [193 193 192]
  ...
  [200 206 206]
  [198 205 205]
  [197 203 203]]

 [[201 203 202]
  [194 195 190]
  [192 192 190]
  ...
  [200 206 206]
  [201 206 206]
  [198 204 204]]

 [[195 199 198]
  [191 193 188]
  [191 192 186]
  ...
  [202 207 207]
  [201 204 206]
  [198 204 204]]]",0
15,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",0
